top - 19:45:01 up 10:45,  1 user,  load average: 1.64, 1.64, 1.49
Tasks: 325 total,   3 running, 304 sleeping,  18 stopped,   0 zombie
%Cpu(s): 45.8 us, 13.9 sy,  0.0 ni, 12.5 id, 26.4 wa,  0.0 hi,  1.4 si,  0.0 st
MiB Mem :   3863.2 total,    119.6 free,   2712.2 used,   1031.4 buff/cache
MiB Swap:   9537.0 total,   8284.6 free,   1252.4 used.    480.3 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 2345 balakri+  20   0 3192604 199016  45080 R  82.4   5.0  59:27.78 gnome-she+
   58 root      20   0       0      0      0 S  23.5   0.0   0:27.05 kswapd0
 1472 root      20   0 1087272  48592  37464 S  23.5   1.2  37:47.80 Xorg
17778 balakri+  20   0  284732  24700  18640 D  23.5   0.6   0:00.19 gnome-scr+
 3451 balakri+  20   0  617712 167380 115404 R  11.8   4.2  57:47.12 chrome
 7765 balakri+  20   0 1150944 399916 130252 S  11.8  10.1  43:38.11 chrome
17742 balakri+  20   0  834064  54944  33224 S  11.8   1.4   0:01.68 gedit
  254 root       0 -20       0      0      0 I   5.9   0.0   0:04.68 kworker/3+
16513 root      20   0       0      0      0 I   5.9   0.0   0:00.26 kworker/1+
17063 root      20   0       0      0      0 I   5.9   0.0   0:00.74 kworker/u+
    1 root      20   0  166520   7448   5204 S   0.0   0.2   0:04.32 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu+
    9 root      20   0       0      0      0 S   0.0   0.0   0:02.41 ksoftirqd+
   10 root      20   0       0      0      0 I   0.0   0.0   1:41.87 rcu_sched
   11 root      rt   0       0      0      0 S   0.0   0.0   0:00.37 migration+
   12 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inje+
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inje+
   17 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 migration+
   18 root      20   0       0      0      0 S   0.0   0.0   0:04.32 ksoftirqd+
   20 root       0 -20       0      0      0 I   0.0   0.0   0:00.68 kworker/1+
   21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
   22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inje+
   23 root      rt   0       0      0      0 S   0.0   0.0   0:00.15 migration+
   24 root      20   0       0      0      0 S   0.0   0.0   0:04.47 ksoftirqd+
   27 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
   28 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inje+
   29 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migration+
   30 root      20   0       0      0      0 S   0.0   0.0   0:02.64 ksoftirqd+
   32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3+
   33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks+
   36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   37 root      20   0       0      0      0 S   0.0   0.0   0:00.05 khungtaskd
   38 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   40 root      20   0       0      0      0 S   0.0   0.0   0:01.06 kcompactd0
   41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
   42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
   43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrit+
   45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
   49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
   50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
   51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poll+
   52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
   53 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   59 root       0 -20       0      0      0 I   0.0   0.0   0:00.45 kworker/u+
   60 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-+
  149 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
  150 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_ther+
  152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addr+
  164 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
  183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_m+
  244 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
  245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
  246 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
  247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
  248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
  249 root       0 -20       0      0      0 I   0.0   0.0   0:02.03 kworker/1+
  250 root      -2   0       0      0      0 S   0.0   0.0   0:34.62 i915/sign+
  251 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 i915/sign+
  252 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 i915/sign+
  253 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 i915/sign+
  255 root       0 -20       0      0      0 I   0.0   0.0   0:05.00 kworker/2+
  336 root      20   0       0      0      0 S   0.0   0.0   0:03.86 jbd2/sda8+
  337 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-+
  338 root       0 -20       0      0      0 I   0.0   0.0   0:04.89 kworker/0+
  391 root      19  -1  111196  14948  13692 S   0.0   0.4   0:14.38 systemd-j+
  414 root      20   0   79028    908    836 S   0.0   0.0   0:00.00 lvmetad
  416 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 iscsi_eh
  417 root      20   0   19064   2832   2412 S   0.0   0.1   0:03.80 systemd-u+
  418 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib-comp-wq
  419 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib-comp-u+
  420 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib_mcast
  421 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ib_nl_sa_+
  422 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rdma_cm
  596 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
  624 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  747 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
  750 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop1
  751 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop2
  752 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
  753 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop4
  754 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop5
  755 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop6
  756 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop7
  757 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop8
  758 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop9
  767 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop10
  768 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop11
  769 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop12
  779 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop13
  786 root       0 -20       0      0      0 S   0.0   0.0   0:00.07 loop14
  789 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop15
  799 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop16
  800 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop17
  801 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop18
  802 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop19
  803 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop20
  804 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop21
